schema_version;run_id;attempt_seq;attempt_id;scenario_id;persona_id;action_id;action_name;action_type;target_system;endpoint;http_method;ts_start_utc;ts_end_utc;duration_ms;technical_status;functional_outcome;http_status_code;error_type;error_message_hash;response_size_bytes;response_body_hash;request_fingerprint
1.2;RUN_20260212T150828Z;1;RUN_20260212T150828Z__A0001;SCENARIO_1;ADMIN;step_1;POST /rest/user/login;HTTP_CALL;OWASP_JUICE_SHOP;/rest/user/login;POST;2026-02-12T15:08:28Z;2026-02-12T15:09:05Z;36427;OK;ALLOW;200;;;799;4fa13a50503ccfad22939afd6e9570c69a101ba314deb9b37bcc6faa853a5041;
1.2;RUN_20260212T150828Z;2;RUN_20260212T150828Z__A0002;SCENARIO_1;ADMIN;step_2;GET /metrics;HTTP_CALL;OWASP_JUICE_SHOP;/metrics;GET;2026-02-12T15:09:05Z;2026-02-12T15:09:05Z;230;OK;ALLOW;200;;;24582;6fd2d59de8ce0176c4baab5dfbb9b3dd25d5c6da4e2cb44997b22833b5cfdc87;
1.2;RUN_20260212T150828Z;3;RUN_20260212T150828Z__A0003;SCENARIO_1;ADMIN;step_3;GET /rest/admin/application-configuration;HTTP_CALL;OWASP_JUICE_SHOP;/rest/admin/application-configuration;GET;2026-02-12T15:09:05Z;2026-02-12T15:09:05Z;317;OK;ALLOW;200;;;21730;834a4300379392d0abc23a4acd355eae80a855b84d7f3179cd5346cfb6c198a5;
1.2;RUN_20260212T150828Z;8;RUN_20260212T150828Z__A0004;SCENARIO_1;ADMIN;step_8;PUT /rest/products/1/reviews;HTTP_CALL;OWASP_JUICE_SHOP;/rest/products/1/reviews;PUT;2026-02-12T15:09:05Z;2026-02-12T15:09:06Z;238;OK;ALLOW;201;;;20;912d0c07da7bdb22cdae025b96da26d01523aaab7362edb28544e3949deb369d;
1.2;RUN_20260212T150828Z;8;RUN_20260212T150828Z__A0007;SCENARIO_1;ADMIN;step_8;PUT /rest/products/1/reviews;HTTP_CALL;OWASP_JUICE_SHOP;/rest/products/1/reviews;PUT;2026-02-12T15:09:05Z;2026-02-12T15:09:06Z;366;OK;ALLOW;201;;;20;912d0c07da7bdb22cdae025b96da26d01523aaab7362edb28544e3949deb369d;
1.2;RUN_20260212T150828Z;8;RUN_20260212T150828Z__A0006;SCENARIO_1;ADMIN;step_8;PUT /rest/products/1/reviews;HTTP_CALL;OWASP_JUICE_SHOP;/rest/products/1/reviews;PUT;2026-02-12T15:09:05Z;2026-02-12T15:09:07Z;1541;OK;ALLOW;201;;;20;912d0c07da7bdb22cdae025b96da26d01523aaab7362edb28544e3949deb369d;
1.2;RUN_20260212T150828Z;8;RUN_20260212T150828Z__A0005;SCENARIO_1;ADMIN;step_8;PUT /rest/products/1/reviews;HTTP_CALL;OWASP_JUICE_SHOP;/rest/products/1/reviews;PUT;2026-02-12T15:09:05Z;2026-02-12T15:09:07Z;1622;OK;ALLOW;201;;;20;912d0c07da7bdb22cdae025b96da26d01523aaab7362edb28544e3949deb369d;
1.2;RUN_20260212T150828Z;8;RUN_20260212T150828Z__A0008;SCENARIO_1;ADMIN;step_8;PUT /rest/products/1/reviews;HTTP_CALL;OWASP_JUICE_SHOP;/rest/products/1/reviews;PUT;2026-02-12T15:09:05Z;2026-02-12T15:09:07Z;1670;OK;ALLOW;201;;;20;912d0c07da7bdb22cdae025b96da26d01523aaab7362edb28544e3949deb369d;
1.2;RUN_20260212T150828Z;9;RUN_20260212T150828Z__A0009;SCENARIO_1;STANDARD[1];step_9;POST /rest/user/login;HTTP_CALL;OWASP_JUICE_SHOP;/rest/user/login;POST;2026-02-12T15:09:07Z;2026-02-12T15:09:08Z;381;OK;ALLOW;200;;;792;0c11cf810a2cb640b7142884f2e7a1c224577f14716e24e96809be3e98f00d33;
1.2;RUN_20260212T150828Z;10;RUN_20260212T150828Z__A0010;SCENARIO_1;STANDARD[1];step_10;GET /metrics;HTTP_CALL;OWASP_JUICE_SHOP;/metrics;GET;2026-02-12T15:09:08Z;2026-02-12T15:09:08Z;124;OK;DENY;403;;;48;5dd51e4caa0ab7d354b63083068653bcad98445d7a7e4a1af66477bf6823d766;
1.2;RUN_20260212T150828Z;11;RUN_20260212T150828Z__A0011;SCENARIO_1;STANDARD[1];step_11;GET /rest/admin/application-configuration;HTTP_CALL;OWASP_JUICE_SHOP;/rest/admin/application-configuration;GET;2026-02-12T15:09:08Z;2026-02-12T15:09:08Z;43;OK;DENY;403;;;48;5dd51e4caa0ab7d354b63083068653bcad98445d7a7e4a1af66477bf6823d766;
1.2;RUN_20260212T150828Z;16;RUN_20260212T150828Z__A0013;SCENARIO_1;STANDARD[1];step_16;PUT /rest/products/1/reviews;HTTP_CALL;OWASP_JUICE_SHOP;/rest/products/1/reviews;PUT;2026-02-12T15:09:08Z;2026-02-12T15:09:08Z;144;OK;ALLOW;201;;;20;912d0c07da7bdb22cdae025b96da26d01523aaab7362edb28544e3949deb369d;
1.2;RUN_20260212T150828Z;16;RUN_20260212T150828Z__A0015;SCENARIO_1;STANDARD[1];step_16;PUT /rest/products/1/reviews;HTTP_CALL;OWASP_JUICE_SHOP;/rest/products/1/reviews;PUT;2026-02-12T15:09:08Z;2026-02-12T15:09:08Z;428;OK;ALLOW;201;;;20;912d0c07da7bdb22cdae025b96da26d01523aaab7362edb28544e3949deb369d;
1.2;RUN_20260212T150828Z;16;RUN_20260212T150828Z__A0014;SCENARIO_1;STANDARD[1];step_16;PUT /rest/products/1/reviews;HTTP_CALL;OWASP_JUICE_SHOP;/rest/products/1/reviews;PUT;2026-02-12T15:09:08Z;2026-02-12T15:09:09Z;560;OK;ALLOW;201;;;20;912d0c07da7bdb22cdae025b96da26d01523aaab7362edb28544e3949deb369d;
1.2;RUN_20260212T150828Z;16;RUN_20260212T150828Z__A0016;SCENARIO_1;STANDARD[1];step_16;PUT /rest/products/1/reviews;HTTP_CALL;OWASP_JUICE_SHOP;/rest/products/1/reviews;PUT;2026-02-12T15:09:08Z;2026-02-12T15:09:09Z;626;OK;ALLOW;201;;;20;912d0c07da7bdb22cdae025b96da26d01523aaab7362edb28544e3949deb369d;
1.2;RUN_20260212T150828Z;16;RUN_20260212T150828Z__A0012;SCENARIO_1;STANDARD[1];step_16;PUT /rest/products/1/reviews;HTTP_CALL;OWASP_JUICE_SHOP;/rest/products/1/reviews;PUT;2026-02-12T15:09:08Z;2026-02-12T15:09:09Z;691;OK;ALLOW;201;;;20;912d0c07da7bdb22cdae025b96da26d01523aaab7362edb28544e3949deb369d;
1.2;RUN_20260212T150828Z;17;RUN_20260212T150828Z__A0017;SCENARIO_1;STANDARD[2];step_17;POST /rest/user/login;HTTP_CALL;OWASP_JUICE_SHOP;/rest/user/login;POST;2026-02-12T15:09:09Z;2026-02-12T15:09:09Z;375;OK;ALLOW;200;;;815;cfa500dd9e30b93674b516a1df57d53f90c2b51c69792979f86ea5232fa697a2;
1.2;RUN_20260212T150828Z;18;RUN_20260212T150828Z__A0018;SCENARIO_1;STANDARD[2];step_18;GET /metrics;HTTP_CALL;OWASP_JUICE_SHOP;/metrics;GET;2026-02-12T15:09:09Z;2026-02-12T15:09:09Z;45;OK;DENY;403;;;48;5dd51e4caa0ab7d354b63083068653bcad98445d7a7e4a1af66477bf6823d766;
1.2;RUN_20260212T150828Z;19;RUN_20260212T150828Z__A0019;SCENARIO_1;STANDARD[2];step_19;GET /rest/admin/application-configuration;HTTP_CALL;OWASP_JUICE_SHOP;/rest/admin/application-configuration;GET;2026-02-12T15:09:09Z;2026-02-12T15:09:09Z;45;OK;DENY;403;;;48;5dd51e4caa0ab7d354b63083068653bcad98445d7a7e4a1af66477bf6823d766;
1.2;RUN_20260212T150828Z;24;RUN_20260212T150828Z__A0020;SCENARIO_1;STANDARD[2];step_24;PUT /rest/products/1/reviews;HTTP_CALL;OWASP_JUICE_SHOP;/rest/products/1/reviews;PUT;2026-02-12T15:09:09Z;2026-02-12T15:09:10Z;167;OK;ALLOW;201;;;20;912d0c07da7bdb22cdae025b96da26d01523aaab7362edb28544e3949deb369d;
1.2;RUN_20260212T150828Z;24;RUN_20260212T150828Z__A0021;SCENARIO_1;STANDARD[2];step_24;PUT /rest/products/1/reviews;HTTP_CALL;OWASP_JUICE_SHOP;/rest/products/1/reviews;PUT;2026-02-12T15:09:09Z;2026-02-12T15:09:10Z;312;OK;ALLOW;201;;;20;912d0c07da7bdb22cdae025b96da26d01523aaab7362edb28544e3949deb369d;
1.2;RUN_20260212T150828Z;24;RUN_20260212T150828Z__A0022;SCENARIO_1;STANDARD[2];step_24;PUT /rest/products/1/reviews;HTTP_CALL;OWASP_JUICE_SHOP;/rest/products/1/reviews;PUT;2026-02-12T15:09:09Z;2026-02-12T15:09:10Z;375;OK;ALLOW;201;;;20;912d0c07da7bdb22cdae025b96da26d01523aaab7362edb28544e3949deb369d;
1.2;RUN_20260212T150828Z;24;RUN_20260212T150828Z__A0024;SCENARIO_1;STANDARD[2];step_24;PUT /rest/products/1/reviews;HTTP_CALL;OWASP_JUICE_SHOP;/rest/products/1/reviews;PUT;2026-02-12T15:09:09Z;2026-02-12T15:09:10Z;426;OK;ALLOW;201;;;20;912d0c07da7bdb22cdae025b96da26d01523aaab7362edb28544e3949deb369d;
